id;epicerio_id;created_date;last_updated_date;imported_date;date;utilisateur;type;epicerio_mouvement;mouvement;solde;vente;code_produit;produit;responsable_produit;fournisseur_produit;code_fournisseur;reduction;ponderation;vente_chf;valeur_chf;remarques;active
a2d6fc90-0854-41c8-9da0-15922bf8a4ad;16608;2024-12-30T06:33:09;2024-12-30T14:59:58;2024-12-30T17:02:17;2024-12-29T21:20:20;hopelessly synthesise;yum below;6974.37;10837.86;5524.83;courageously warm times;cavernous unless well-worn;lock blissfully;where;commandeer;eek save;6411.36;4902.41;3637.57;12313.47;../fake-data/blob/hipster.txt;false
cac99cea-03e8-4780-8ccd-c069a8c654b6;18212;2024-12-30T06:52:11;2024-12-30T13:07:05;2024-12-30T18:42:40;2024-12-30T11:41:16;impact;manner slipper;28444.67;22817.9;3141.54;relieve;an;where;incidentally;bog mmm;rapidly daddy lest;2247.79;8600.62;11295.37;29901;../fake-data/blob/hipster.txt;true
fa79711f-eb11-40ab-87f4-8e04035aa840;8735;2024-12-30T06:10:11;2024-12-30T15:59:13;2024-12-30T08:28:53;2024-12-30T14:48:08;lasting vestment;behind;25175.18;22675.37;28735.11;youthfully damp;silky swing suckle;distorted versus what;archive detective yearn;instead misreport;woot;16168.97;19490.22;24335.94;11964.39;../fake-data/blob/hipster.txt;true
9515054b-f114-47ab-a75b-61f3253a6af0;13978;2024-12-30T01:29:01;2024-12-30T17:38:36;2024-12-30T07:00:50;2024-12-30T16:21:57;ew;slap;264.68;19949.81;3595.65;absent amid ack;busily bah circa;failing reporter fiercely;weighty;grave ew heroine;gosh catalyze vice;26217.59;3993.96;15485.67;24140.23;../fake-data/blob/hipster.txt;true
1949e5a5-242c-4b15-b164-0f9b2be803ab;17819;2024-12-30T02:25:36;2024-12-30T03:31:09;2024-12-29T23:11:29;2024-12-30T05:52:20;relaunch inquisitively chasuble;at;18354.28;20213.04;17671.8;broken;onto unlawful;sympathetically persecute fortunately;readjust dandelion unaware;which bobble versus;amid;24050.22;8905.05;20217.4;10835.82;../fake-data/blob/hipster.txt;false
5feae1b7-8d88-48e7-a8c0-0ebd37d599bf;17097;2024-12-30T19:43:54;2024-12-30T16:08:43;2024-12-30T00:24:59;2024-12-30T09:27:29;likewise geez;on aged;9236.18;17737.39;13473.13;kooky;comb submissive;old-fashioned loftily after;hm fooey;but;qua pro;7303.84;9255.15;27473.19;2632.34;../fake-data/blob/hipster.txt;true
4b559c41-c01d-440a-ae88-26de9aae2b07;13273;2024-12-30T09:47:55;2024-12-30T20:05:11;2024-12-30T09:34:53;2024-12-30T00:26:13;frilly kindly phew;oof thoroughly;11831.69;6901.63;21643.88;though up;down questionably navigate;sternly improbable drat;only;import hoarse bathhouse;whoever whale;1694.84;796.43;23007.37;18403.12;../fake-data/blob/hipster.txt;true
fbdb9907-195f-41fc-98a1-7f2bd786488f;21890;2024-12-30T10:55:34;2024-12-29T22:20:29;2024-12-30T14:33:05;2024-12-30T14:07:00;ack unhappy whenever;unsteady;7638.29;23711.96;9832.49;spattering politely what;cute so;given;dissemble although inasmuch;stump before slink;advocate;5275.44;12818.32;5014.79;9228.42;../fake-data/blob/hipster.txt;false
537b754e-70da-4c1e-b597-47b8b577b149;28284;2024-12-30T16:45:25;2024-12-30T09:37:52;2024-12-29T20:57:19;2024-12-30T08:37:22;in-joke;designation little;26787.2;25435.34;24288.3;voluntarily to;besides querulous;um plus;ouch;chasuble eek now;queasy;30732.1;21752.56;18999.4;9568.4;../fake-data/blob/hipster.txt;false
bd953283-a676-49cc-8d0f-dc847cba2d39;12783;2024-12-30T01:59:02;2024-12-30T18:29:32;2024-12-30T17:51:09;2024-12-30T02:26:56;finally edge following;discrete;29283.55;26310.19;20670.66;sonata whoa;properly provided why;accountability bogus;nor;brush;furthermore lovable instructor;7572.66;656.55;8238.72;31340.27;../fake-data/blob/hipster.txt;false
