id;epicerio_id;created_date;last_updated_date;imported_date;nom;code;disponible;prix_fournisseur;ht_ttc;taux_tva;marge_profit;prix_vente;vendu;quantite_par_piece;unite;prix_par_unite;description;remarques_internes;fournisseur;ref_fournisseur;stock;commandes_clients;derniere_verification_date;derniere_livraison_date;achat_fournisseur;dernier_achat_date;dernier_achat_quantite;stats_livraison;stats_perte;stats_vente;stats_vente_speciale;tags
7f4aba5c-f1a5-4708-aa3b-0a6d270aa4e0;10423;2025-12-04T03:02:40;2025-12-03T21:41:41;2025-12-04T13:14:39;even ha nerve;probable;deplore;12802.19;facilitate;25065.7;32454.83;17302.54;elegant feather stint;8854.1;esteemed;helpless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;ah maul;even who blond;10927.06;12136.69;2025-12-03;2025-12-04;between peony but;2025-12-04;7220.75;31250.96;5573.16;29034.7;21895.58;../fake-data/blob/hipster.txt
762d04f4-decb-438d-9842-8ee00b763525;14320;2025-12-03T19:24:11;2025-12-04T07:25:08;2025-12-03T23:32:58;consequently;hm delight reborn;proselytise redevelop boohoo;18007.21;gah;25149.64;20242.72;17087.45;mmm sustenance vague;27781.6;baptise;via;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;bonnet;better provided dual;30990.32;16615.37;2025-12-03;2025-12-03;aha bookcase gorgeous;2025-12-03;14474.17;25656.2;10206.44;12701.87;21899.55;../fake-data/blob/hipster.txt
227632ca-5f1c-43ae-91aa-94c24fe850d4;32044;2025-12-03T16:03:42;2025-12-04T13:24:53;2025-12-04T07:20:12;fall rudely;obnoxiously thoughtfully fooey;ew;24712.85;on terribly of;19605.41;4872.07;22039.24;easily bah;12051.35;refute why;ideal whoever talkative;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;fervently;pry oh eek;27685.83;29557.32;2025-12-04;2025-12-04;huddle manipulate;2025-12-03;15939.85;30065.89;684.31;16739.26;1342.76;../fake-data/blob/hipster.txt
fb253a25-c300-4890-8200-c743104bba39;16242;2025-12-03T17:23:26;2025-12-03T19:42:26;2025-12-04T09:37:57;after CD;puff whether giggle;yet before;2379.93;mealy;7337.34;14235.47;15469.42;for;11193.2;vestment;mainstream;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;decriminalize highly boastfully;apologise;32201.33;23832.35;2025-12-04;2025-12-04;where casement ready;2025-12-03;31419.01;26381.97;26332.83;1569.86;31750.74;../fake-data/blob/hipster.txt
eceace1d-bafa-4a09-96a4-b096b220c087;19371;2025-12-04T14:06:46;2025-12-04T03:35:43;2025-12-04T08:06:50;anti;unto ick;obediently;21578.15;daintily;28697.5;6686.6;32257.94;disarm;20495.38;if drug eek;never;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;but;beyond;809.43;18854.54;2025-12-03;2025-12-04;correctly better meaningfully;2025-12-04;29394.15;26685.9;1334.15;20597.91;15238.91;../fake-data/blob/hipster.txt
8e7ef568-7667-45c7-bab8-f27b3a474f73;6905;2025-12-03T17:45:29;2025-12-03T16:07:04;2025-12-03T20:41:12;feather;furthermore;boo;27614.28;lightly modulo;29710.73;7871.1;30457.18;times outrun;15545.22;generously;decouple hm past;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;while;yowza;19377.79;1797.41;2025-12-04;2025-12-03;someplace oof on;2025-12-03;24048.02;19581.71;14466.73;28668.96;1659.07;../fake-data/blob/hipster.txt
0d1b7ee4-ce6a-42e1-b6ba-62b13567eb51;18824;2025-12-04T14:45:44;2025-12-04T10:46:46;2025-12-04T15:10:19;intellect while;unsightly near ultimately;machine athwart;5825.69;to;1728.6;28783.36;26364.52;testing more notarize;14829.34;astonishing;times duh valley;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;spectate;round knavishly;21001.06;21365.95;2025-12-04;2025-12-04;petty giggle;2025-12-04;18317.38;6279.79;21752.6;854.48;9195.44;../fake-data/blob/hipster.txt
c6bb3189-0979-4d75-8f61-13e834e767af;16225;2025-12-04T00:15:43;2025-12-03T16:53:50;2025-12-04T13:52:20;provided but versus;destock ouch;questioningly boyfriend ice-cream;16048.17;burdensome even;11983.49;29459.18;2825.67;shrilly scuffle slimy;13704.07;uh-huh unabashedly whose;reporter;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;mortise;scoff;20853.08;12869.85;2025-12-04;2025-12-04;effector under plus;2025-12-04;17816.7;22985.56;12189.73;27553;23598.74;../fake-data/blob/hipster.txt
3d4d7c58-3f40-4699-96ca-37199d116e70;8027;2025-12-04T11:57:30;2025-12-04T09:57:28;2025-12-04T04:19:39;or lively;censor whether besides;broadly hard-to-find;32606.81;plait;16483.91;16818.9;20076.73;enfold out;23775.2;though jet;unusual bogus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whenever ick;free gadzooks;1177.7;30533.04;2025-12-04;2025-12-04;mmm around;2025-12-04;12984.89;3471.93;30478.89;23971.16;9165.27;../fake-data/blob/hipster.txt
8d8f1fc6-e2b6-4469-a6dc-16c89c84df46;19722;2025-12-04T04:37:28;2025-12-04T10:43:06;2025-12-04T04:57:07;hmph whether atop;next incidentally;certainly;23835.17;once um blah;16790.09;8183.05;8674.72;pleasure after now;23834.66;boggle hourly capitalise;compromise lounge;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;sadly;per hydrocarbon minus;8523.21;20653.05;2025-12-03;2025-12-04;bolster although video;2025-12-03;18505.5;20276.51;14298.41;1763.35;26808.26;../fake-data/blob/hipster.txt
